Time,Latitude,Longitude, Image Name
17/04/2022 21:50:38,51.73740709940182,-172.36807609258614,img_1.jpg
17/04/2022 21:51:03,51.79419619387958,-169.78117059597585,img_2.jpg
17/04/2022 21:51:29,51.78979595078639,-167.2342683131518,img_3.jpg
17/04/2022 21:51:54,51.72569244899723,-164.69180686695663,img_4.jpg
17/04/2022 21:52:20,51.599930358965054,-162.12306739942838,img_5.jpg
17/04/2022 21:52:46,51.41320663059637,-159.56780412280216,img_6.jpg
17/04/2022 21:53:12,51.166586691915064,-157.03754765759356,img_7.jpg
17/04/2022 21:53:38,50.86145121702701,-154.540275133792,img_8.jpg
17/04/2022 21:54:03,50.5045631245937,-152.11450860768264,img_9.jpg
17/04/2022 21:54:29,50.086857877088065,-149.6934973613929,img_10.jpg
17/04/2022 21:54:55,49.616154463821516,-147.3238006803271,img_11.jpg
17/04/2022 21:55:20,49.09996054733883,-145.0309025743769,img_12.jpg
17/04/2022 21:55:46,48.53558146360038,-142.7917919514185,img_13.jpg
17/04/2022 21:56:11,47.92414258636637,-140.60505222538993,img_14.jpg
17/04/2022 21:56:37,47.259131519079595,-138.44607959576518,img_15.jpg
17/04/2022 21:57:03,46.5610298516326,-136.3751235084071,img_16.jpg
17/04/2022 21:57:28,45.82226825796604,-134.36012162850878,img_17.jpg
17/04/2022 21:57:54,45.03275341972104,-132.37184310992095,img_18.jpg
17/04/2022 21:58:19,44.22017859739664,-130.47412588462043,img_19.jpg
17/04/2022 21:58:45,43.374686220479845,-128.63463426871425,img_20.jpg
17/04/2022 21:59:10,42.49483606260772,-126.8452423696948,img_21.jpg
17/04/2022 21:59:36,41.58450968168559,-125.10924862922707,img_22.jpg
17/04/2022 22:00:01,40.64473694203341,-123.42387056088887,img_23.jpg
17/04/2022 22:00:27,39.67608258624983,-121.78581763295962,img_24.jpg
17/04/2022 22:00:52,38.682165394640535,-120.1969088810649,img_25.jpg
17/04/2022 22:01:18,37.65046895501549,-118.63445917504964,img_26.jpg
17/04/2022 22:01:44,36.61322868223626,-117.14270771607627,img_27.jpg
17/04/2022 22:02:09,35.55439665885386,-115.69275892728194,img_28.jpg
17/04/2022 22:02:34,34.47251487052826,-114.27924875381323,img_29.jpg
17/04/2022 22:03:00,33.372551886900325,-112.90534540217054,img_30.jpg
17/04/2022 22:03:25,32.25804955942642,-111.5717974680154,img_31.jpg
17/04/2022 22:03:51,31.124406165827512,-110.26986406732443,img_32.jpg
17/04/2022 22:04:16,29.97607282730929,-109.00174679211091,img_33.jpg
17/04/2022 22:04:42,28.81141391304164,-107.76279979696152,img_34.jpg
17/04/2022 22:05:07,27.635247348032223,-106.55537568409162,img_35.jpg
17/04/2022 22:05:33,26.446075298196583,-105.37521505831543,img_36.jpg
17/04/2022 22:05:58,25.246552788016075,-104.22240123924624,img_37.jpg
17/04/2022 22:06:24,24.036299605952646,-103.09411214940233,img_38.jpg
17/04/2022 22:06:49,22.814562963172758,-101.987416963577,img_39.jpg
17/04/2022 22:07:15,21.586704651042567,-100.90492921926896,img_40.jpg
17/04/2022 22:07:40,20.351625586524975,-99.84344426849898,img_41.jpg
17/04/2022 22:08:06,19.087015122159634,-98.78240994190229,img_42.jpg
17/04/2022 22:08:32,17.83018725162814,-97.75138499937879,img_43.jpg
17/04/2022 22:08:57,16.56876316331185,-96.73788019258758,img_44.jpg
17/04/2022 22:09:23,15.302067748227493,-95.73950886158609,img_45.jpg
17/04/2022 22:09:49,14.010212098863708,-94.73927037594373,img_46.jpg
17/04/2022 22:10:14,12.731977711201043,-93.76554156188023,img_47.jpg
17/04/2022 22:10:40,11.452019016363538,-92.80463441171382,img_48.jpg
17/04/2022 22:11:05,10.166571429573636,-91.85215767976656,img_49.jpg
17/04/2022 22:11:31,8.879856462239013,-90.90973032308715,img_50.jpg
17/04/2022 22:11:56,7.59150225695065,-89.97557575218555,img_51.jpg
17/04/2022 22:12:22,6.279500470639809,-89.03248562785095,img_52.jpg
17/04/2022 22:12:48,4.9838852751423195,-88.10783872441348,img_53.jpg
17/04/2022 22:13:13,3.6883934102257396,-87.18848429288637,img_54.jpg
17/04/2022 22:13:39,2.3718701204937527,-86.25811738250438,img_55.jpg
17/04/2022 22:14:04,1.075297448688392,-85.34433019657467,img_56.jpg
17/04/2022 22:14:30,-0.22441183446768342,-84.42944899886184,img_57.jpg
17/04/2022 22:14:55,-1.5226749673137434,-83.51536140707059,img_58.jpg
17/04/2022 22:15:21,-2.823414856204407,-82.59795869405012,img_59.jpg
17/04/2022 22:15:46,-4.120892091922831,-81.67993855211424,img_60.jpg
17/04/2022 22:16:12,-5.435713074248906,-80.74527142929861,img_61.jpg
17/04/2022 22:16:38,-6.726248257593252,-79.82218893984451,img_62.jpg
17/04/2022 22:17:03,-8.013165787393286,-78.8946817834531,img_63.jpg
17/04/2022 22:17:29,-9.300882908939888,-77.95814534274217,img_64.jpg
17/04/2022 22:17:54,-10.589342305928582,-77.01110602432203,img_65.jpg
17/04/2022 22:18:20,-11.87432218958768,-76.05513907127077,img_66.jpg
17/04/2022 22:18:45,-13.151251551597378,-75.09218396722038,img_67.jpg
17/04/2022 22:19:11,-14.44433542081563,-74.10212870082157,img_68.jpg
17/04/2022 22:19:37,-15.728323795783329,-73.1023508378284,img_69.jpg
17/04/2022 22:20:02,-16.98821167484568,-72.10329023929691,img_70.jpg
17/04/2022 22:20:28,-18.240633365637773,-71.0904665812414,img_71.jpg
17/04/2022 22:20:53,-19.484768698512468,-70.06284615670549,img_72.jpg
